"date","median_p","mean_p","year","month"
2012-01-01,0.311614841222763,0.309679367144903,"2012","01"
2012-02-01,0.388499200344086,0.369366762042046,"2012","02"
2012-03-01,0.338732749223709,0.339867275953293,"2012","03"
2012-04-01,0.533210575580597,0.527566504478455,"2012","04"
2012-05-01,1.61026656627655,1.44138077894847,"2012","05"
2012-06-01,1.7518138885498,1.81591390768687,"2012","06"
2012-07-01,1.66602599620819,1.70128523111343,"2012","07"
2012-08-01,1.97506558895111,1.99516696929932,"2012","08"
2012-09-01,1.70832371711731,1.82415392796199,"2012","09"
2012-10-01,1.89120972156525,1.80481402873993,"2012","10"
2012-11-01,0.728452026844025,0.790413829684258,"2012","11"
2012-12-01,0.633539438247681,0.615861751635869,"2012","12"
2013-01-01,0.475425869226456,0.467260192831357,"2013","01"
2013-02-01,0.383155405521393,0.357885288198789,"2013","02"
2013-03-01,0.187643200159073,0.196413248280684,"2013","03"
2013-04-01,0.733781397342682,0.699731628100077,"2013","04"
2013-05-01,1.03267085552216,1.06705861488978,"2013","05"
2013-06-01,2.00852727890015,1.79331699609756,"2013","06"
2013-07-01,1.86146914958954,1.75629384120305,"2013","07"
2013-08-01,1.79148852825165,1.74223075707754,"2013","08"
2013-09-01,2.53455424308777,2.19874895413717,"2013","09"
2013-10-01,2.05100560188293,1.99471611181895,"2013","10"
2013-11-01,1.31211745738983,1.30925489664078,"2013","11"
2013-12-01,0.898139417171478,0.816032373905182,"2013","12"
2014-01-01,0.364126533269882,0.465206118424733,"2014","01"
2014-02-01,0.568075299263,0.603266467650731,"2014","02"
2014-03-01,0.445739924907684,0.425911380847295,"2014","03"
2014-04-01,0.614290714263916,0.663455675045649,"2014","04"
2014-05-01,1.05135500431061,1.06716341177622,"2014","05"
2014-06-01,2.05051970481873,1.65615526437759,"2014","06"
2014-07-01,1.61617732048035,1.35569310983022,"2014","07"
2014-08-01,1.87902450561523,1.67956539789836,"2014","08"
2014-09-01,2.05855798721313,1.88813529809316,"2014","09"
2014-10-01,1.59572303295135,1.50430112679799,"2014","10"
2014-11-01,0.925704777240753,0.918673521280289,"2014","11"
2014-12-01,0.425261557102203,0.448151729504267,"2014","12"
2015-01-01,0.471398293972015,0.487593696514765,"2015","01"
2015-02-01,0.302235096693039,0.332286077737808,"2015","02"
2015-03-01,0.415829449892044,0.440904651085536,"2015","03"
2015-04-01,0.633233428001404,0.630951823790868,"2015","04"
2015-05-01,1.01494169235229,0.95887841184934,"2015","05"
2015-06-01,1.96697759628296,1.67429310878118,"2015","06"
2015-07-01,1.23716735839844,1.1547824382782,"2015","07"
2015-08-01,1.40388810634613,1.25678901274999,"2015","08"
2015-09-01,2.07017707824707,1.98046406507492,"2015","09"
2015-10-01,1.93126666545868,1.79914170900981,"2015","10"
2015-11-01,1.53562688827515,1.43236246506373,"2015","11"
2015-12-01,1.54962193965912,1.32165953715642,"2015","12"
2016-01-01,0.472061425447464,0.479650916655858,"2016","01"
2016-02-01,0.312913060188293,0.318929296731949,"2016","02"
2016-03-01,0.500716984272003,0.481854734818141,"2016","03"
2016-04-01,0.558620810508728,0.608369568983714,"2016","04"
2016-05-01,1.09728240966797,1.16909690300624,"2016","05"
2016-06-01,2.07678031921387,1.91857707500458,"2016","06"
2016-07-01,1.63448190689087,1.47034200827281,"2016","07"
2016-08-01,1.66549742221832,1.57635640303294,"2016","08"
2016-09-01,2.28042602539062,2.08994362751643,"2016","09"
2016-10-01,1.88234066963196,1.98565630118052,"2016","10"
2016-11-01,0.68266487121582,0.919324415922165,"2016","11"
2016-12-01,0.96963357925415,0.991114064057668,"2016","12"
