"date","median_p","mean_p","year","month"
2012-01-01,0,0.000210259137798748,"2012","01"
2012-02-01,0,0.000868868181470997,"2012","02"
2012-03-01,0,0.00353980862598876,"2012","03"
2012-04-01,0,0.0374257927660247,"2012","04"
2012-05-01,0.00499999988824129,0.163261565324387,"2012","05"
2012-06-01,0.166999995708466,0.5116767362016,"2012","06"
2012-07-01,0.634999990463257,0.945419580060892,"2012","07"
2012-08-01,0.360000014305115,0.712268267727847,"2012","08"
2012-09-01,0.0020000000949949,0.118080336526673,"2012","09"
2012-10-01,0,0.0205583317804021,"2012","10"
2012-11-01,0,0.00664214981569825,"2012","11"
2012-12-01,0,0.000707215378497115,"2012","12"
2013-01-01,0,0.000206402319183706,"2013","01"
2013-02-01,0,0.00191991369272828,"2013","02"
2013-03-01,0,0.00629051223650905,"2013","03"
2013-04-01,0,0.0205334083980159,"2013","04"
2013-05-01,0.00700000021606684,0.14661571496724,"2013","05"
2013-06-01,0.186000004410744,0.502275835512667,"2013","06"
2013-07-01,0.583000004291534,0.8689829467311,"2013","07"
2013-08-01,0.393999993801117,0.695712156133566,"2013","08"
2013-09-01,0.00700000021606684,0.163984822953579,"2013","09"
2013-10-01,0,0.0133846707424662,"2013","10"
2013-11-01,0,0.0025423833065549,"2013","11"
2013-12-01,0,2.187962586035e-05,"2013","12"
2014-01-01,0,5.22546755312044e-05,"2014","01"
2014-02-01,0,0.000253007277228532,"2014","02"
2014-03-01,0,0.0037436466797099,"2014","03"
2014-04-01,0,0.0352234974052136,"2014","04"
2014-05-01,0.00100000004749745,0.125107511445329,"2014","05"
2014-06-01,0.194999992847443,0.490544155268569,"2014","06"
2014-07-01,0.550000011920929,0.894437509114905,"2014","07"
2014-08-01,0.254000008106232,0.66025798998098,"2014","08"
2014-09-01,0.00700000021606684,0.242139731566707,"2014","09"
2014-10-01,0,0.0255217754080394,"2014","10"
2014-11-01,0,0.00544780787015905,"2014","11"
2014-12-01,0,0.000119769842337673,"2014","12"
2015-01-01,0,9.19590558006833e-05,"2015","01"
2015-02-01,0,0.00089090416653587,"2015","02"
2015-03-01,0,0.00580925428602834,"2015","03"
2015-04-01,0,0.016669314334627,"2015","04"
2015-05-01,0.00300000002607703,0.174129432763751,"2015","05"
2015-06-01,0.128000006079674,0.490292857543488,"2015","06"
2015-07-01,0.453000009059906,0.720940052554641,"2015","07"
2015-08-01,0.291999995708466,0.677303083396407,"2015","08"
2015-09-01,0.00499999988824129,0.181106792201499,"2015","09"
2015-10-01,0,0.0285321471188355,"2015","10"
2015-11-01,0,0.00889155044609132,"2015","11"
2015-12-01,0,0.000656638938781166,"2015","12"
