"date","median_p","mean_p","year","month"
2012-01-01,0.776000022888184,0.69746476483184,"2012","01"
2012-02-01,0.670000016689301,0.584634865408594,"2012","02"
2012-03-01,0.926999986171722,0.781001690319199,"2012","03"
2012-04-01,0.996999979019165,0.987565345842132,"2012","04"
2012-05-01,0.935000002384186,0.966447015498099,"2012","05"
2012-06-01,0.779999971389771,0.822562599185671,"2012","06"
2012-07-01,0.773000001907349,0.762909245157279,"2012","07"
2012-08-01,0.749000012874603,0.786382461581057,"2012","08"
2012-09-01,0.883000016212463,0.910461489881334,"2012","09"
2012-10-01,1.19400000572205,1.09442757567257,"2012","10"
2012-11-01,1.25699996948242,1.1031784471162,"2012","11"
2012-12-01,1.05299997329712,0.881359113065272,"2012","12"
2013-01-01,0.680000007152557,0.65839767543678,"2013","01"
2013-02-01,0.811999976634979,0.7494931853067,"2013","02"
2013-03-01,1.25499999523163,1.06389582691023,"2013","03"
2013-04-01,1.08200001716614,1.01890121484697,"2013","04"
2013-05-01,1.00999999046326,1.03503898591538,"2013","05"
2013-06-01,0.878000020980835,0.911522979619094,"2013","06"
2013-07-01,0.736999988555908,0.740828525961566,"2013","07"
2013-08-01,0.824000000953674,0.827321394320149,"2013","08"
2013-09-01,0.920000016689301,0.993008135380991,"2013","09"
2013-10-01,1.10899996757507,1.05657295315804,"2013","10"
2013-11-01,1.12999999523163,1.00164025365486,"2013","11"
2013-12-01,0.897000014781952,0.777448494670009,"2013","12"
2014-01-01,0.695999979972839,0.673150343164234,"2014","01"
2014-02-01,0.670000016689301,0.693240570518785,"2014","02"
2014-03-01,0.949000000953674,0.809836344572969,"2014","03"
2014-04-01,1.04100000858307,0.9902985738858,"2014","04"
2014-05-01,0.991999983787537,1.04690322186788,"2014","05"
2014-06-01,0.930000007152557,0.911222715543844,"2014","06"
2014-07-01,0.828000009059906,0.79855488598529,"2014","07"
2014-08-01,0.839999973773956,0.84141024853402,"2014","08"
2014-09-01,1.07799994945526,1.03038383502957,"2014","09"
2014-10-01,1.09399998188019,1.07724226089364,"2014","10"
2014-11-01,1.30400002002716,1.09202514485202,"2014","11"
2014-12-01,1.14199995994568,0.924870998440094,"2014","12"
2015-01-01,0.823000013828278,0.727001901486459,"2015","01"
2015-02-01,0.919000029563904,0.764395245762453,"2015","02"
2015-03-01,0.903999984264374,0.821466772809523,"2015","03"
2015-04-01,1.02699995040894,0.99339070252595,"2015","04"
2015-05-01,1.01800000667572,1.02234030624181,"2015","05"
2015-06-01,0.931999981403351,0.884307871209664,"2015","06"
2015-07-01,0.901000022888184,0.864084099579568,"2015","07"
2015-08-01,0.953999996185303,0.990015636437695,"2015","08"
2015-09-01,1.14300000667572,1.06688209158088,"2015","09"
2015-10-01,1.31700003147125,1.17792002110141,"2015","10"
2015-11-01,1.34300005435944,1.16993491800156,"2015","11"
2015-12-01,1.21599996089935,0.994436872875792,"2015","12"
2016-01-01,0.564999997615814,0.556560803002447,"2016","01"
2016-02-01,0.792999982833862,0.804300475444712,"2016","02"
2016-03-01,1.02100002765656,0.944878394375836,"2016","03"
2016-04-01,1.37999999523163,1.21942377165643,"2016","04"
2016-05-01,1.09599995613098,1.17937812958797,"2016","05"
2016-06-01,0.879000008106232,0.903864236935352,"2016","06"
2016-07-01,0.875999987125397,0.854384996988346,"2016","07"
2016-08-01,0.917999982833862,0.958755625752332,"2016","08"
2016-09-01,0.975000023841858,1.01284659300264,"2016","09"
2016-10-01,1.30400002002716,1.20553766475535,"2016","10"
2016-11-01,1.2849999666214,1.18370607514388,"2016","11"
2016-12-01,1.05599999427795,0.957328473162536,"2016","12"
2017-01-01,0.769999980926514,0.695388061460747,"2017","01"
2017-02-01,0.699999988079071,0.623906180887027,"2017","02"
2017-03-01,0.991999983787537,0.860921077498166,"2017","03"
2017-04-01,1.23300004005432,1.00772921287011,"2017","04"
2017-05-01,1.23300004005432,1.14243264608822,"2017","05"
2017-06-01,0.912999987602234,0.96453967258543,"2017","06"
2017-07-01,0.736000001430511,0.754096143522604,"2017","07"
2017-08-01,1.06200003623962,0.983517908349159,"2017","08"
2017-09-01,1.22300004959106,1.09810533546417,"2017","09"
