"date","median_p","mean_p","year","month"
2012-01-01,0.331000000238419,0.333553192062066,"2012","01"
2012-02-01,0.344999998807907,0.320810875342388,"2012","02"
2012-03-01,0.317999988794327,0.304673758083316,"2012","03"
2012-04-01,0.586000025272369,0.593751773411567,"2012","04"
2012-05-01,0.866999983787537,0.9271418435662,"2012","05"
2012-06-01,0.889999985694885,0.892591017212534,"2012","06"
2012-07-01,1.10300004482269,1.00079432500628,"2012","07"
2012-08-01,1.40699994564056,1.28935224612202,"2012","08"
2012-09-01,1.36099994182587,1.26391962261972,"2012","09"
2012-10-01,1.72099995613098,1.58811583867116,"2012","10"
2012-11-01,1.23300004005432,1.25512765794244,"2012","11"
2012-12-01,0.59799998998642,0.578732860229478,"2012","12"
2013-01-01,0.395000010728836,0.362704491833375,"2013","01"
2013-02-01,0.287000000476837,0.260146572899974,"2013","02"
2013-03-01,0.232999995350838,0.2716997637354,"2013","03"
2013-04-01,0.439999997615814,0.46410165459631,"2013","04"
2013-05-01,0.943000018596649,0.964548464338284,"2013","05"
2013-06-01,1.05099999904633,1.05884633781983,"2013","06"
2013-07-01,1.20500004291534,1.11156028568806,"2013","07"
2013-08-01,1.09399998188019,1.06766193774011,"2013","08"
2013-09-01,1.61800003051758,1.41431205672153,"2013","09"
2013-10-01,1.51400005817413,1.41995507983566,"2013","10"
2013-11-01,0.893999993801117,0.905827423349578,"2013","11"
2013-12-01,0.625999987125397,0.568040190801249,"2013","12"
2014-01-01,0.442999988794327,0.394900709531274,"2014","01"
2014-02-01,0.426999986171722,0.389418440515365,"2014","02"
2014-03-01,0.330000013113022,0.373858156309619,"2014","03"
2014-04-01,0.509999990463257,0.516832151090238,"2014","04"
2014-05-01,0.754999995231628,0.788439718308478,"2014","05"
2014-06-01,0.865000009536743,0.788912528932059,"2014","06"
2014-07-01,0.833999991416931,0.764517732576663,"2014","07"
2014-08-01,1.28699994087219,1.17328132623388,"2014","08"
2014-09-01,1.42599999904633,1.25950118264373,"2014","09"
2014-10-01,1.25800001621246,1.1310378259431,"2014","10"
2014-11-01,1.09099996089935,1.07095271740857,"2014","11"
2014-12-01,0.541999995708466,0.497463357749882,"2014","12"
2015-01-01,0.504999995231628,0.500182032712293,"2015","01"
2015-02-01,0.483000010251999,0.465408982812255,"2015","02"
2015-03-01,0.342000007629395,0.34800945564248,"2015","03"
2015-04-01,0.418000012636185,0.4449243500133,"2015","04"
2015-05-01,0.597000002861023,0.539373521781119,"2015","05"
2015-06-01,0.930999994277954,0.825832151847475,"2015","06"
2015-07-01,0.711000025272369,0.681040189733143,"2015","07"
2015-08-01,0.83899998664856,0.771671394714051,"2015","08"
2015-09-01,1.33000004291534,1.22084160842636,"2015","09"
2015-10-01,1.18400001525879,1.09946808641023,"2015","10"
2015-11-01,0.931999981403351,0.889416073548033,"2015","11"
2015-12-01,0.755999982357025,0.726430261245352,"2015","12"
2016-01-01,0.458999991416931,0.423106382762238,"2016","01"
2016-02-01,0.430000007152557,0.422281324111,"2016","02"
2016-03-01,0.36599999666214,0.391191488367464,"2016","03"
2016-04-01,0.63400000333786,0.6903617019142,"2016","04"
2016-05-01,1.2610000371933,1.22467848756097,"2016","05"
2016-06-01,1.23800003528595,1.17731205372241,"2016","06"
2016-07-01,1.06500005722046,1.03496690217326,"2016","07"
2016-08-01,1.37699997425079,1.26428604892832,"2016","08"
