"date","median_p","mean_p","year","month"
2012-01-01,0,0,"2012","01"
2012-02-01,0,0,"2012","02"
2012-03-01,0,0,"2012","03"
2012-04-01,0,0,"2012","04"
2012-05-01,0,0.00194045781012293,"2012","05"
2012-06-01,0.00999999977648258,0.0256950201697422,"2012","06"
2012-07-01,0.0270000007003546,0.0351189298385223,"2012","07"
2012-08-01,0.0710000023245811,0.0962708011689824,"2012","08"
2012-09-01,0.00300000002607703,0.0108029694237222,"2012","09"
2012-10-01,0,0.000810083524010582,"2012","10"
2012-11-01,0,6.6501702744591e-06,"2012","11"
2012-12-01,0,0,"2012","12"
2013-01-01,0,0,"2013","01"
2013-02-01,0,0,"2013","02"
2013-03-01,0,0,"2013","03"
2013-04-01,0,6.18620505720663e-07,"2013","04"
2013-05-01,0,5.05722248483135e-05,"2013","05"
2013-06-01,0.00600000005215406,0.00874404582168194,"2013","06"
2013-07-01,0.125,0.156911692092482,"2013","07"
2013-08-01,0.034000001847744,0.0598878751543568,"2013","08"
2013-09-01,0.00700000021606684,0.0156953294711859,"2013","09"
2013-10-01,0,0.00342545624478641,"2013","10"
2013-11-01,0,0,"2013","11"
2013-12-01,0,0,"2013","12"
2014-01-01,0,0,"2014","01"
2014-02-01,0,0,"2014","02"
2014-03-01,0,0,"2014","03"
2014-04-01,0,2.66006811338448e-05,"2014","04"
2014-05-01,0,0.000285802661598119,"2014","05"
2014-06-01,0.0189999993890524,0.030524280910967,"2014","06"
2014-07-01,0.0570000000298023,0.0738674606587238,"2014","07"
2014-08-01,0.0109999999403954,0.0329775750971969,"2014","08"
2014-09-01,0.0120000001043081,0.0314836066174173,"2014","09"
2014-10-01,0,0.00448236934762685,"2014","10"
2014-11-01,0,3.83544702204149e-05,"2014","11"
2014-12-01,0,0,"2014","12"
2015-01-01,0,0,"2015","01"
2015-02-01,0,0,"2015","02"
2015-03-01,0,0,"2015","03"
2015-04-01,0,0,"2015","04"
2015-05-01,0,0.00174914941509196,"2015","05"
2015-06-01,0.0240000002086163,0.0419481906270308,"2015","06"
2015-07-01,0.0810000002384186,0.119537117300313,"2015","07"
2015-08-01,0.0839999988675117,0.0944409218907264,"2015","08"
2015-09-01,0,0.00496922366274564,"2015","09"
2015-10-01,0,0.000213578721750216,"2015","10"
2015-11-01,0,1.08258588501116e-06,"2015","11"
2015-12-01,0,0,"2015","12"
2016-01-01,0,0,"2016","01"
2016-02-01,0,0,"2016","02"
2016-03-01,0,0,"2016","03"
2016-04-01,0,2.16517171600964e-06,"2016","04"
2016-05-01,0,0.000502165182969803,"2016","05"
2016-06-01,0.0140000004321337,0.0229602536969436,"2016","06"
2016-07-01,0.0509999990463257,0.0778103929429704,"2016","07"
2016-08-01,0.0719999969005585,0.081118001921625,"2016","08"
2016-09-01,0.0329999998211861,0.0408716363715831,"2016","09"
2016-10-01,0,0.000392669352935123,"2016","10"
2016-11-01,0,1.85586151716199e-06,"2016","11"
2016-12-01,0,0,"2016","12"
2017-01-01,0,0,"2017","01"
2017-02-01,0,0,"2017","02"
2017-03-01,0,0,"2017","03"
2017-04-01,0,1.39189611986727e-06,"2017","04"
2017-05-01,0.00300000002607703,0.00466362516088019,"2017","05"
2017-06-01,0.0489999987185001,0.079652954058171,"2017","06"
2017-07-01,0.0850000008940697,0.0973481288060891,"2017","07"
2017-08-01,0.0570000000298023,0.0965156202761612,"2017","08"
2017-09-01,0.00100000004749745,0.00461831120588346,"2017","09"
2017-10-01,0,0.00178363750632342,"2017","10"
2017-11-01,0,0,"2017","11"
2017-12-01,0,0,"2017","12"
2018-01-01,0,0,"2018","01"
2018-02-01,0,0,"2018","02"
2018-03-01,0,0,"2018","03"
2018-04-01,0,6.40272210817928e-05,"2018","04"
2018-05-01,0.00400000018998981,0.00465434584078145,"2018","05"
2018-06-01,0.0419999994337559,0.0544755645663975,"2018","06"
2018-07-01,0.125,0.172469378339539,"2018","07"
2018-08-01,0.0890000015497208,0.124710485691687,"2018","08"
2018-09-01,0.0160000007599592,0.0319832973171939,"2018","09"
2018-10-01,0,0.00121527993710936,"2018","10"
2018-11-01,0,4.94896386572305e-06,"2018","11"
2018-12-01,0,0,"2018","12"
2019-01-01,0,0,"2019","01"
2019-02-01,0,0,"2019","02"
2019-03-01,0,0,"2019","03"
2019-04-01,0,0,"2019","04"
2019-05-01,0,0.000125734613772782,"2019","05"
2019-06-01,0.0379999987781048,0.0528374575950252,"2019","06"
2019-07-01,0.0729999989271164,0.131935508864327,"2019","07"
2019-08-01,0.0799999982118607,0.109677853561124,"2019","08"
2019-09-01,0.00600000005215406,0.0207424992855508,"2019","09"
2019-10-01,0,0.00323801424694667,"2019","10"
2019-11-01,0,9.27930758580994e-07,"2019","11"
2019-12-01,0,0,"2019","12"
2020-01-01,0,0,"2020","01"
2020-02-01,0,0,"2020","02"
2020-03-01,0,0,"2020","03"
2020-04-01,0,0.00023662233864903,"2020","04"
2020-05-01,0.0020000000949949,0.00748113211744286,"2020","05"
2020-06-01,0.00899999961256981,0.022342715790323,"2020","06"
2020-07-01,0.0540000014007092,0.0798357562729655,"2020","07"
2020-08-01,0.0890000015497208,0.111415249103896,"2020","08"
2020-09-01,0.0140000004321337,0.0296283638674594,"2020","09"
2020-10-01,0,0.000174141666671031,"2020","10"
2020-11-01,0,1.36096506937532e-05,"2020","11"
2020-12-01,0,0,"2020","12"
2021-01-01,0,0,"2021","01"
2021-02-01,0,0,"2021","02"
2021-03-01,0,0,"2021","03"
2021-04-01,0,0,"2021","04"
2021-05-01,0,0.000477575014338578,"2021","05"
2021-06-01,0.061999998986721,0.0845477886413643,"2021","06"
2021-07-01,0.0649999976158142,0.106392514819744,"2021","07"
2021-08-01,0.046000000089407,0.0703524591312567,"2021","08"
2021-09-01,0.0189999993890524,0.0561300650864782,"2021","09"
2021-10-01,0,0.000472780704699074,"2021","10"
2021-11-01,0,3.09310242057796e-06,"2021","11"
2021-12-01,0,0,"2021","12"
2022-01-01,0,0,"2022","01"
2022-02-01,0,0,"2022","02"
2022-03-01,0,0,"2022","03"
2022-04-01,0,2.78379227574298e-06,"2022","04"
2022-05-01,0.00499999988824129,0.0144828333342562,"2022","05"
2022-06-01,0.0489999987185001,0.108160686638873,"2022","06"
2022-07-01,0.0850000008940697,0.146444014993339,"2022","07"
2022-08-01,0.112000003457069,0.198216671871924,"2022","08"
2022-09-01,0.00700000021606684,0.02180838235906,"2022","09"
2022-10-01,0.00800000037997961,0.0196226415793271,"2022","10"
2022-11-01,0,2.48994746350877e-05,"2022","11"
2022-12-01,0,9.27930758580994e-07,"2022","12"
