"date","median_p","mean_p","year","month"
2012-01-01,0,0,"2012","01"
2012-02-01,0,0,"2012","02"
2012-03-01,0,0,"2012","03"
2012-04-01,0,0,"2012","04"
2012-05-01,0,0.000701802777529379,"2012","05"
2012-06-01,0.00400000018998981,0.00653213152643649,"2012","06"
2012-07-01,0.034000001847744,0.0288053022831884,"2012","07"
2012-08-01,0.0410000011324883,0.0444218452392968,"2012","08"
2012-09-01,0,0.000869565240150932,"2012","09"
2012-10-01,0,0,"2012","10"
2012-11-01,0,0,"2012","11"
2012-12-01,0,0,"2012","12"
2013-01-01,0,0,"2013","01"
2013-02-01,0,0,"2013","02"
2013-03-01,0,0,"2013","03"
2013-04-01,0,0,"2013","04"
2013-05-01,0,0,"2013","05"
2013-06-01,0.00499999988824129,0.00551049845270449,"2013","06"
2013-07-01,0.0500000007450581,0.0704886533794994,"2013","07"
2013-08-01,0.0359999984502792,0.0356072111482646,"2013","08"
2013-09-01,0,0.000249628852341771,"2013","09"
2013-10-01,0,0,"2013","10"
2013-11-01,0,0,"2013","11"
2013-12-01,0,0,"2013","12"
2014-01-01,0,0,"2014","01"
2014-02-01,0,0,"2014","02"
2014-03-01,0,0,"2014","03"
2014-04-01,0,0,"2014","04"
2014-05-01,0,0,"2014","05"
2014-06-01,0.00600000005215406,0.007099893986206,"2014","06"
2014-07-01,0.0640000030398369,0.0882184518595727,"2014","07"
2014-08-01,0.00899999961256981,0.0106044539101056,"2014","08"
2014-09-01,0.00700000021606684,0.00608059388441197,"2014","09"
2014-10-01,0,0,"2014","10"
2014-11-01,0,0,"2014","11"
2014-12-01,0,0,"2014","12"
2015-01-01,0,0,"2015","01"
2015-02-01,0,0,"2015","02"
2015-03-01,0,0,"2015","03"
2015-04-01,0,0,"2015","04"
2015-05-01,0,3.81760357475167e-06,"2015","05"
2015-06-01,0.00400000018998981,0.0056882291165855,"2015","06"
2015-07-01,0.0419999994337559,0.0604873808206495,"2015","07"
2015-08-01,0.103000000119209,0.093494591840927,"2015","08"
2015-09-01,0,0.00017794274353676,"2015","09"
2015-10-01,0,0,"2015","10"
2015-11-01,0,0,"2015","11"
2015-12-01,0,0,"2015","12"
2016-01-01,0,0,"2016","01"
2016-02-01,0,0,"2016","02"
2016-03-01,0,0,"2016","03"
2016-04-01,0,0,"2016","04"
2016-05-01,0,0.000434994709990081,"2016","05"
2016-06-01,0.0140000004321337,0.0216744433517626,"2016","06"
2016-07-01,0.0500000007450581,0.0535630966311771,"2016","07"
2016-08-01,0.0379999987781048,0.0355726406100174,"2016","08"
2016-09-01,0.028999999165535,0.0229785790752614,"2016","09"
2016-10-01,0,0,"2016","10"
2016-11-01,0,0,"2016","11"
2016-12-01,0,0,"2016","12"
2017-01-01,0,0,"2017","01"
2017-02-01,0,0,"2017","02"
2017-03-01,0,0,"2017","03"
2017-04-01,0,0,"2017","04"
2017-05-01,0,0.000446871696543719,"2017","05"
2017-06-01,0.028999999165535,0.0254899258136726,"2017","06"
2017-07-01,0.046000000089407,0.043102651200438,"2017","07"
2017-08-01,0.0480000004172325,0.0476271475042826,"2017","08"
2017-09-01,0,0.000118557799830717,"2017","09"
2017-10-01,0,0,"2017","10"
2017-11-01,0,0,"2017","11"
2017-12-01,0,0,"2017","12"
2018-01-01,0,0,"2018","01"
2018-02-01,0,0,"2018","02"
2018-03-01,0,0,"2018","03"
2018-04-01,0,0,"2018","04"
2018-05-01,0.00499999988824129,0.00582693534748172,"2018","05"
2018-06-01,0.0280000008642673,0.0257259810289313,"2018","06"
2018-07-01,0.0710000023245811,0.0751215272704051,"2018","07"
2018-08-01,0.0740000009536743,0.0787781550686496,"2018","08"
2018-09-01,0.00400000018998981,0.00387020155716853,"2018","09"
2018-10-01,0,0,"2018","10"
2018-11-01,0,0,"2018","11"
2018-12-01,0,0,"2018","12"
2019-01-01,0,0,"2019","01"
2019-02-01,0,0,"2019","02"
2019-03-01,0,0,"2019","03"
2019-04-01,0,0,"2019","04"
2019-05-01,0,0,"2019","05"
2019-06-01,0.0590000003576279,0.0750432663058915,"2019","06"
2019-07-01,0.0350000001490116,0.0469569460483424,"2019","07"
2019-08-01,0.0529999993741512,0.068292470967243,"2019","08"
2019-09-01,0.00100000004749745,0.0014256628207252,"2019","09"
2019-10-01,0,0,"2019","10"
2019-11-01,0,0,"2019","11"
2019-12-01,0,0,"2019","12"
2020-01-01,0,0,"2020","01"
2020-02-01,0,0,"2020","02"
2020-03-01,0,0,"2020","03"
2020-04-01,0,0,"2020","04"
2020-05-01,0,6.36267262458612e-07,"2020","05"
2020-06-01,0.00999999977648258,0.0159442206498034,"2020","06"
2020-07-01,0.0209999997168779,0.0209289502433955,"2020","07"
2020-08-01,0.096000000834465,0.0869501592071672,"2020","08"
2020-09-01,0.00100000004749745,0.00266998944404581,"2020","09"
2020-10-01,0,0,"2020","10"
2020-11-01,0,0,"2020","11"
2020-12-01,0,0,"2020","12"
2021-01-01,0,0,"2021","01"
2021-02-01,0,0,"2021","02"
2021-03-01,0,0,"2021","03"
2021-04-01,0,0,"2021","04"
2021-05-01,0,0,"2021","05"
2021-06-01,0.0529999993741512,0.061559915246836,"2021","06"
2021-07-01,0.0640000030398369,0.0662496290496557,"2021","07"
2021-08-01,0.0130000002682209,0.0147039237739084,"2021","08"
2021-09-01,0.00700000021606684,0.00579427363751466,"2021","09"
2021-10-01,0,0,"2021","10"
2021-11-01,0,0,"2021","11"
2021-12-01,0,0,"2021","12"
2022-01-01,0,0,"2022","01"
2022-02-01,0,0,"2022","02"
2022-03-01,0,0,"2022","03"
2022-04-01,0,0,"2022","04"
2022-05-01,0,0.0011758218680865,"2022","05"
2022-06-01,0.0299999993294477,0.0348733829637577,"2022","06"
2022-07-01,0.0320000015199184,0.0414706258843223,"2022","07"
2022-08-01,0.0869999974966049,0.0888394487012387,"2022","08"
2022-09-01,0,0.000121739134266538,"2022","09"
2022-10-01,0,1.86638396987859e-05,"2022","10"
2022-11-01,0,0,"2022","11"
2022-12-01,0,0,"2022","12"
