"date","median_p","mean_p","year","month"
2012-01-01,0.00300000002607703,0.093250616134058,"2012","01"
2012-02-01,0.00499999988824129,0.136297724837444,"2012","02"
2012-03-01,0.0320000015199184,0.156781534883386,"2012","03"
2012-04-01,0.131999999284744,0.276971115854557,"2012","04"
2012-05-01,0.456000000238419,0.61082394410704,"2012","05"
2012-06-01,0.827000021934509,0.948719410623926,"2012","06"
2012-07-01,1.05499994754791,1.13719342067272,"2012","07"
2012-08-01,1.18900001049042,1.30501707832461,"2012","08"
2012-09-01,0.782999992370605,1.2253104477054,"2012","09"
2012-10-01,0.300000011920929,0.616669895144042,"2012","10"
2012-11-01,0.0540000014007092,0.180062238646522,"2012","11"
2012-12-01,0.00400000018998981,0.116332970423987,"2012","12"
2013-01-01,0,0.1037237091158,"2013","01"
2013-02-01,0.00400000018998981,0.126942059755304,"2013","02"
2013-03-01,0.0240000002086163,0.0926632471752099,"2013","03"
2013-04-01,0.116999998688698,0.245267980972033,"2013","04"
2013-05-01,0.33500000834465,0.485544787827895,"2013","05"
2013-06-01,0.875999987125397,0.986661012277652,"2013","06"
2013-07-01,1.17900002002716,1.24449126019007,"2013","07"
2013-08-01,1.07000005245209,1.19679832654733,"2013","08"
2013-09-01,0.943000018596649,1.34323537198374,"2013","09"
2013-10-01,0.273000001907349,0.678317897987519,"2013","10"
2013-11-01,0.017000000923872,0.288565648655259,"2013","11"
2013-12-01,0,0.177224482856943,"2013","12"
2014-01-01,0,0.0688536306362796,"2014","01"
2014-02-01,0.0149999996647239,0.146605020408249,"2014","02"
2014-03-01,0.0379999987781048,0.184297782237291,"2014","03"
2014-04-01,0.123999997973442,0.259781706658966,"2014","04"
2014-05-01,0.333999991416931,0.540590463747171,"2014","05"
2014-06-01,0.898000001907349,1.05087552352684,"2014","06"
2014-07-01,1.20899999141693,1.20685248391288,"2014","07"
2014-08-01,1.15799999237061,1.25723903968087,"2014","08"
2014-09-01,1.05799996852875,1.51743452346466,"2014","09"
2014-10-01,0.379999995231628,0.794294974430275,"2014","10"
2014-11-01,0.00899999961256981,0.160179551993567,"2014","11"
2014-12-01,0.00400000018998981,0.116995128700677,"2014","12"
2015-01-01,0,0.0909766175880537,"2015","01"
2015-02-01,0.00700000021606684,0.0933674136016317,"2015","02"
2015-03-01,0.0209999997168779,0.176635165347132,"2015","03"
2015-04-01,0.17399999499321,0.378545647090669,"2015","04"
2015-05-01,0.361999988555908,0.584973809432478,"2015","05"
2015-06-01,1.0809999704361,1.08560754200228,"2015","06"
2015-07-01,1.14999997615814,1.17549498539663,"2015","07"
2015-08-01,1.11600005626678,1.14802768041308,"2015","08"
2015-09-01,1.24800002574921,1.47733927456209,"2015","09"
2015-10-01,0.398000001907349,0.841775230624285,"2015","10"
2015-11-01,0.0610000006854534,0.428711444713825,"2015","11"
2015-12-01,0.00400000018998981,0.24108458955473,"2015","12"
2016-01-01,0,0.0778970714962917,"2016","01"
2016-02-01,0.00700000021606684,0.0752578945121925,"2016","02"
2016-03-01,0.0410000011324883,0.231002177856485,"2016","03"
2016-04-01,0.144999995827675,0.32287156871159,"2016","04"
2016-05-01,0.425000011920929,0.577116167270584,"2016","05"
2016-06-01,0.976000010967255,1.03481001780917,"2016","06"
2016-07-01,1.02100002765656,1.06552358310329,"2016","07"
2016-08-01,1.307000041008,1.34814740136276,"2016","08"
2016-09-01,1.05900001525879,1.26835027793629,"2016","09"
2016-10-01,0.412999987602234,0.761838042440881,"2016","10"
2016-11-01,0.0599999986588955,0.261083271453979,"2016","11"
2016-12-01,0.00700000021606684,0.207574588810733,"2016","12"
2017-01-01,0.0020000000949949,0.0803612814937371,"2017","01"
2017-02-01,0.0199999995529652,0.128172330930664,"2017","02"
2017-03-01,0.0939999967813492,0.18726276587501,"2017","03"
2017-04-01,0.150999993085861,0.282262765782048,"2017","04"
2017-05-01,0.402999997138977,0.547745257700194,"2017","05"
2017-06-01,0.987999975681305,1.06351315253115,"2017","06"
2017-07-01,1.22699999809265,1.26214149823692,"2017","07"
2017-08-01,1.13999998569489,1.28043996784853,"2017","08"
2017-09-01,0.945999979972839,1.27438414774076,"2017","09"
2017-10-01,0.323000013828278,0.664366439639129,"2017","10"
2017-11-01,0.0659999996423721,0.270641870762701,"2017","11"
2017-12-01,0.00100000004749745,0.103204653608536,"2017","12"
2018-01-01,0,0.0553208206863198,"2018","01"
2018-02-01,0.0179999992251396,0.177691099741739,"2018","02"
2018-03-01,0.0509999990463257,0.187327296747962,"2018","03"
2018-04-01,0.172000005841255,0.300695111424748,"2018","04"
2018-05-01,0.583999991416931,0.647511146862186,"2018","05"
2018-06-01,1.01999998092651,1.00213720044834,"2018","06"
2018-07-01,0.980000019073486,1.02169568432483,"2018","07"
2018-08-01,1.1710000038147,1.28203066083674,"2018","08"
2018-09-01,0.972000002861023,1.31710487760081,"2018","09"
2018-10-01,0.225999996066093,0.683529027199554,"2018","10"
2018-11-01,0.0109999999403954,0.231808871562919,"2018","11"
2018-12-01,0,0.101078227960362,"2018","12"
2019-01-01,0,0.0826337899292597,"2019","01"
2019-02-01,0.00899999961256981,0.146565361972063,"2019","02"
2019-03-01,0.0450000017881393,0.14870479693553,"2019","03"
2019-04-01,0.123000003397465,0.230563184228981,"2019","04"
2019-05-01,0.321999996900558,0.543714252795778,"2019","05"
2019-06-01,0.992999970912933,1.01399696247672,"2019","06"
2019-07-01,1.02900004386902,0.971210843082245,"2019","07"
2019-08-01,0.935999989509583,1.09813559498208,"2019","08"
2019-09-01,1.26999998092651,1.41090555325045,"2019","09"
2019-10-01,0.310000002384186,0.762594934064556,"2019","10"
2019-11-01,0.0700000002980232,0.32570496881521,"2019","11"
2019-12-01,0.00300000002607703,0.130278755315988,"2019","12"
2020-01-01,0.0020000000949949,0.117202303881138,"2020","01"
2020-02-01,0.00700000021606684,0.123074961322141,"2020","02"
2020-03-01,0.112000003457069,0.231713737205101,"2020","03"
