"date","median_p","mean_p","year","month"
2012-01-01,0,0.00033172414437386,"2012","01"
2012-02-01,0,0.00470896553103651,"2012","02"
2012-03-01,0,0.0388524138357426,"2012","03"
2012-04-01,0.00600000005215406,0.175085517140426,"2012","04"
2012-05-01,0.0720000006258488,0.21791034500492,"2012","05"
2012-06-01,0.173000000417233,0.598775862024712,"2012","06"
2012-07-01,0.44650000333786,1.04999172467353,"2012","07"
2012-08-01,0.385999992489815,1.00192896606762,"2012","08"
2012-09-01,0.145999997854233,0.771615172919962,"2012","09"
2012-10-01,0.00600000005215406,0.181892414243073,"2012","10"
2012-11-01,0,0.018006206939864,"2012","11"
2012-12-01,0,0.00247310346755167,"2012","12"
2013-01-01,0,0.000181379315507566,"2013","01"
2013-02-01,0,0.00812275866118806,"2013","02"
2013-03-01,0,0.0824055171446425,"2013","03"
2013-04-01,0.00600000005215406,0.172569655086444,"2013","04"
2013-05-01,0.0740000009536743,0.386211034997431,"2013","05"
2013-06-01,0.367000013589859,0.940809656371491,"2013","06"
2013-07-01,0.433999985456467,1.0196179318428,"2013","07"
2013-08-01,0.353499993681908,0.933616550244584,"2013","08"
2013-09-01,0.133000001311302,0.779645516473623,"2013","09"
2013-10-01,0.017000000923872,0.28402137864076,"2013","10"
2013-11-01,0,0.0239186207162505,"2013","11"
2013-12-01,0,0.00209379311940023,"2013","12"
2014-01-01,0,0.000786206902743414,"2014","01"
2014-02-01,0,0.00315241381285134,"2014","02"
2014-03-01,0,0.0449462069367091,"2014","03"
2014-04-01,0.0120000001043081,0.146627586227039,"2014","04"
2014-05-01,0.0775000005960464,0.30567724155511,"2014","05"
2014-06-01,0.344999998807907,0.765615170853341,"2014","06"
2014-07-01,0.442999988794327,1.05224827447746,"2014","07"
2014-08-01,0.391000002622604,0.982237931357472,"2014","08"
2014-09-01,0.133500002324581,0.738515172795039,"2014","09"
2014-10-01,0.00800000037997961,0.236131034355675,"2014","10"
2014-11-01,0,0.0417827585233568,"2014","11"
2014-12-01,0,0.00268413795270668,"2014","12"
2015-01-01,0,0.000849655178407657,"2015","01"
2015-02-01,0,0.01264000004318,"2015","02"
2015-03-01,0,0.0600503447949726,"2015","03"
2015-04-01,0.00499999988824129,0.189273793206807,"2015","04"
2015-05-01,0.0719999969005585,0.384232413973499,"2015","05"
2015-06-01,0.260499998927116,0.614433103986245,"2015","06"
2015-07-01,0.394500002264977,1.0212703462259,"2015","07"
2015-08-01,0.386999994516373,0.981845517027561,"2015","08"
2015-09-01,0.145499996840954,0.817876550275913,"2015","09"
2015-10-01,0.0120000001043081,0.281451724532767,"2015","10"
2015-11-01,0,0.0610413794008341,"2015","11"
2015-12-01,0,0.00240689656392125,"2015","12"
2016-01-01,0,0.00104000000572153,"2016","01"
2016-02-01,0,0.0142793103920874,"2016","02"
2016-03-01,0,0.094360000285609,"2016","03"
2016-04-01,0.0230000000447035,0.177099310347794,"2016","04"
2016-05-01,0.0649999976158142,0.46476758665076,"2016","05"
2016-06-01,0.364000007510185,0.88704137903293,"2016","06"
2016-07-01,0.438999995589256,1.00600758823646,"2016","07"
2016-08-01,0.41100001335144,1.06703034537949,"2016","08"
2016-09-01,0.158500000834465,0.826427586571281,"2016","09"
2016-10-01,0.0189999993890524,0.358885517291612,"2016","10"
2016-11-01,0,0.0471200000929068,"2016","11"
2016-12-01,0,0.00747034484649013,"2016","12"
2017-01-01,0,0.00134827586766011,"2017","01"
2017-02-01,0,0.0143924138138617,"2017","02"
2017-03-01,0,0.0419524138188792,"2017","03"
2017-04-01,0.0209999997168779,0.22329448328498,"2017","04"
2017-05-01,0.0649999976158142,0.437479310587675,"2017","05"
2017-06-01,0.316500008106232,0.80657310276212,"2017","06"
2017-07-01,0.428000003099442,1.01607034428784,"2017","07"
2017-08-01,0.431500002741814,1.04948482683402,"2017","08"
2017-09-01,0.172499999403954,0.920466894628239,"2017","09"
2017-10-01,0.0189999993890524,0.379207585935063,"2017","10"
2017-11-01,0,0.0406910345173473,"2017","11"
2017-12-01,0,0.00807586209150031,"2017","12"
2018-01-01,0,0.000491724145309678,"2018","01"
2018-02-01,0,0.0124544828099295,"2018","02"
2018-03-01,0,0.0771613794141288,"2018","03"
2018-04-01,0.00800000037997961,0.214928965586206,"2018","04"
2018-05-01,0.0640000030398369,0.424807585985962,"2018","05"
2018-06-01,0.350999996066093,0.773437932680024,"2018","06"
2018-07-01,0.471000000834465,1.08825379200352,"2018","07"
2018-08-01,0.430999994277954,1.05288413879124,"2018","08"
2018-09-01,0.14750000089407,0.831256551615059,"2018","09"
