"date","median_p","mean_p","year","month"
2012-01-01,0,2.1021021203743e-05,"2012","01"
2012-02-01,0,3.00300314563799e-06,"2012","02"
2012-03-01,0,1.20120124660201e-05,"2012","03"
2012-04-01,0,2.60260270291322e-05,"2012","04"
2012-05-01,0.0140000004321337,0.0315185185711555,"2012","05"
2012-06-01,0.0670000016689301,0.101033033286986,"2012","06"
2012-07-01,0.10700000077486,0.159585585581834,"2012","07"
2012-08-01,0.158000007271767,0.207179179593167,"2012","08"
2012-09-01,0.101999998092651,0.127211211309829,"2012","09"
2012-10-01,0.00999999977648258,0.0186726727129731,"2012","10"
2012-11-01,0,0.000154154158446255,"2012","11"
2012-12-01,0,7.80780791063552e-05,"2012","12"
2013-01-01,0,4.60460468347336e-05,"2013","01"
2013-02-01,0,4.00400419418399e-06,"2013","02"
2013-03-01,0,3.90390387957205e-05,"2013","03"
2013-04-01,0,0.000490490504698054,"2013","04"
2013-05-01,0.00100000004749745,0.00386186189694541,"2013","05"
2013-06-01,0.0320000015199184,0.0610880881048705,"2013","06"
2013-07-01,0.266000002622604,0.305184184039409,"2013","07"
2013-08-01,0.218999996781349,0.286487487768447,"2013","08"
2013-09-01,0.119000002741814,0.180523523716843,"2013","09"
2013-10-01,0.0219999998807907,0.0394444445284919,"2013","10"
2013-11-01,0,0.000283283285551459,"2013","11"
2013-12-01,0,0.000127127128504068,"2013","12"
2014-01-01,0,1.60160164271404e-05,"2014","01"
2014-02-01,0,4.00400419418399e-06,"2014","02"
2014-03-01,0,6.00600594168042e-06,"2014","03"
2014-04-01,0.00100000004749745,0.0041931932226888,"2014","04"
2014-05-01,0.00700000021606684,0.017447447497724,"2014","05"
2014-06-01,0.0450000017881393,0.07270970980269,"2014","06"
2014-07-01,0.165000006556511,0.207699699709574,"2014","07"
2014-08-01,0.168999999761581,0.20367968035722,"2014","08"
2014-09-01,0.138999998569489,0.205927928150687,"2014","09"
2014-10-01,0.0869999974966049,0.0748108110612713,"2014","10"
2014-11-01,0,0.00108108109781972,"2014","11"
2014-12-01,0,1.30130135145661e-05,"2014","12"
2015-01-01,0,7.00700699022642e-06,"2015","01"
2015-02-01,0,1.6016015961013e-05,"2015","02"
2015-03-01,0,2.10210215533385e-05,"2015","03"
2015-04-01,0.00100000004749745,0.00348248252530001,"2015","04"
2015-05-01,0.0260000005364418,0.0402902903912069,"2015","05"
2015-06-01,0.115000002086163,0.167380380233539,"2015","06"
2015-07-01,0.291000008583069,0.331566566588344,"2015","07"
2015-08-01,0.172000005841255,0.240459459569973,"2015","08"
2015-09-01,0.0570000000298023,0.0805155157888386,"2015","09"
2015-10-01,0.017000000923872,0.038048048105391,"2015","10"
2015-11-01,0,0.00137837840108065,"2015","11"
2015-12-01,0,0.000410410418134142,"2015","12"
2016-01-01,0,0.000133133135960662,"2016","01"
2016-02-01,0,8.00800815530427e-06,"2016","02"
2016-03-01,0,4.00400419418399e-06,"2016","03"
2016-04-01,0,0.000316316322950242,"2016","04"
2016-05-01,0.00600000005215406,0.00701801805851144,"2016","05"
2016-06-01,0.0799999982118607,0.125394394452049,"2016","06"
2016-07-01,0.284999996423721,0.374956956396142,"2016","07"
2016-08-01,0.261999994516373,0.349413414069035,"2016","08"
2016-09-01,0.133000001311302,0.163835836163311,"2016","09"
2016-10-01,0.0260000005364418,0.0388758759261589,"2016","10"
2016-11-01,0,0.00029429430116408,"2016","11"
2016-12-01,0,0.000153153156581986,"2016","12"
2017-01-01,0,3.90390397279754e-05,"2017","01"
2017-02-01,0,1.3013012815375e-05,"2017","02"
2017-03-01,0,1.7017017825282e-05,"2017","03"
2017-04-01,0.00400000018998981,0.00871071074420383,"2017","04"
2017-05-01,0.0410000011324883,0.0454304306326225,"2017","05"
2017-06-01,0.149000003933907,0.226673673719981,"2017","06"
2017-07-01,0.212999999523163,0.240151151155193,"2017","07"
2017-08-01,0.204999998211861,0.245077077088667,"2017","08"
2017-09-01,0.0500000007450581,0.0898308308880862,"2017","09"
2017-10-01,0.0329999998211861,0.0623343345009721,"2017","10"
2017-11-01,0,0.00130430431964269,"2017","11"
2017-12-01,0,0.000332332334016917,"2017","12"
2018-01-01,0,4.70470484659389e-05,"2018","01"
2018-02-01,0,3.00300302910614e-06,"2018","02"
2018-03-01,0,2.90290298251747e-05,"2018","03"
