"date","median_p","mean_p","year","month"
2012-01-01,0,0,"2012","01"
2012-02-01,0,0,"2012","02"
2012-03-01,0,0,"2012","03"
2012-04-01,0,0,"2012","04"
2012-05-01,0,0,"2012","05"
2012-06-01,0,2.98953676381899e-06,"2012","06"
2012-07-01,0,0.00134050824897996,"2012","07"
2012-08-01,0.00100000004749745,0.0048140508494784,"2012","08"
2012-09-01,0,5.97907352763797e-07,"2012","09"
2012-10-01,0,0,"2012","10"
2012-11-01,0,0,"2012","11"
2012-12-01,0,0,"2012","12"
2013-01-01,0,0,"2013","01"
2013-02-01,0,0,"2013","02"
2013-03-01,0,0,"2013","03"
2013-04-01,0,0,"2013","04"
2013-05-01,0,0,"2013","05"
2013-06-01,0,0,"2013","06"
2013-07-01,0.00800000037997961,0.0131216742475246,"2013","07"
2013-08-01,0.00100000004749745,0.0045542601281248,"2013","08"
2013-09-01,0,0.000110014951760047,"2013","09"
2013-10-01,0,2.09267573467329e-06,"2013","10"
2013-11-01,0,0,"2013","11"
2013-12-01,0,0,"2013","12"
2014-01-01,0,0,"2014","01"
2014-02-01,0,0,"2014","02"
2014-03-01,0,0,"2014","03"
2014-04-01,0,0,"2014","04"
2014-05-01,0,0,"2014","05"
2014-06-01,0,0.000680418551261906,"2014","06"
2014-07-01,0.00499999988824129,0.0103028401271656,"2014","07"
2014-08-01,0,0.000784753380456079,"2014","08"
2014-09-01,0,0.0019449925444803,"2014","09"
2014-10-01,0,8.66965661507506e-06,"2014","10"
2014-11-01,0,0,"2014","11"
2014-12-01,0,0,"2014","12"
2015-01-01,0,0,"2015","01"
2015-02-01,0,0,"2015","02"
2015-03-01,0,0,"2015","03"
2015-04-01,0,0,"2015","04"
2015-05-01,0,0,"2015","05"
2015-06-01,0,6.12855036582892e-05,"2015","06"
2015-07-01,0,0.00172675637746166,"2015","07"
2015-08-01,0,0.00270254112636011,"2015","08"
2015-09-01,0,0,"2015","09"
2015-10-01,0,0,"2015","10"
2015-11-01,0,0,"2015","11"
2015-12-01,0,0,"2015","12"
2016-01-01,0,0,"2016","01"
2016-02-01,0,0,"2016","02"
2016-03-01,0,0,"2016","03"
2016-04-01,0,0,"2016","04"
2016-05-01,0,0,"2016","05"
2016-06-01,0,0.000977578491455582,"2016","06"
2016-07-01,0.00100000004749745,0.00533004487904348,"2016","07"
2016-08-01,0.00400000018998981,0.00713363233741417,"2016","08"
2016-09-01,0.00100000004749745,0.00478176385771917,"2016","09"
2016-10-01,0,0,"2016","10"
2016-11-01,0,0,"2016","11"
2016-12-01,0,0,"2016","12"
2017-01-01,0,0,"2017","01"
2017-02-01,0,0,"2017","02"
2017-03-01,0,0,"2017","03"
2017-04-01,0,0,"2017","04"
2017-05-01,0,0,"2017","05"
2017-06-01,0,0.00252316894670266,"2017","06"
2017-07-01,0,0.00470911812083169,"2017","07"
2017-08-01,0,0.00245919285369243,"2017","08"
2017-09-01,0,5.231689308841e-05,"2017","09"
2017-10-01,0,0,"2017","10"
2017-11-01,0,0,"2017","11"
2017-12-01,0,0,"2017","12"
2018-01-01,0,0,"2018","01"
2018-02-01,0,0,"2018","02"
2018-03-01,0,0,"2018","03"
2018-04-01,0,0,"2018","04"
2018-05-01,0,0,"2018","05"
2018-06-01,0,0.00173183858794159,"2018","06"
2018-07-01,0.00499999988824129,0.0146346786473592,"2018","07"
2018-08-01,0.00100000004749745,0.00633213757993222,"2018","08"
2018-09-01,0,9.44693603445685e-05,"2018","09"
2018-10-01,0,0,"2018","10"
2018-11-01,0,0,"2018","11"
2018-12-01,0,0,"2018","12"
2019-01-01,0,0,"2019","01"
2019-02-01,0,0,"2019","02"
2019-03-01,0,0,"2019","03"
2019-04-01,0,0,"2019","04"
2019-05-01,0,0,"2019","05"
2019-06-01,0,0.000552167425694999,"2019","06"
2019-07-01,0.00600000005215406,0.0111177878226021,"2019","07"
2019-08-01,0.00499999988824129,0.00715156953892516,"2019","08"
2019-09-01,0,0.000449327366414058,"2019","09"
2019-10-01,0,0,"2019","10"
2019-11-01,0,0,"2019","11"
2019-12-01,0,0,"2019","12"
2020-01-01,0,0,"2020","01"
2020-02-01,0,0,"2020","02"
2020-03-01,0,0,"2020","03"
2020-04-01,0,0,"2020","04"
2020-05-01,0,0,"2020","05"
2020-06-01,0,0.000788639778840691,"2020","06"
2020-07-01,0,0.00177339313736934,"2020","07"
2020-08-01,0.00499999988824129,0.0120693572907206,"2020","08"
2020-09-01,0,0.000515695080621884,"2020","09"
2020-10-01,0,0,"2020","10"
2020-11-01,0,0,"2020","11"
2020-12-01,0,0,"2020","12"
2021-01-01,0,0,"2021","01"
2021-02-01,0,0,"2021","02"
2021-03-01,0,0,"2021","03"
2021-04-01,0,0,"2021","04"
2021-05-01,0,0,"2021","05"
2021-06-01,0,0.00238385651182656,"2021","06"
2021-07-01,0.0109999999403954,0.0192813154378898,"2021","07"
2021-08-01,0.00400000018998981,0.00448669660279614,"2021","08"
2021-09-01,0.00100000004749745,0.00446068763587435,"2021","09"
2021-10-01,0,1.49476838190949e-06,"2021","10"
2021-11-01,0,0,"2021","11"
2021-12-01,0,0,"2021","12"
2022-01-01,0,0,"2022","01"
2022-02-01,0,0,"2022","02"
2022-03-01,0,0,"2022","03"
2022-04-01,0,0,"2022","04"
2022-05-01,0,0,"2022","05"
2022-06-01,0,0.000960239187587381,"2022","06"
2022-07-01,0.00499999988824129,0.0100783258917016,"2022","07"
2022-08-01,0.00600000005215406,0.0144810165496131,"2022","08"
2022-09-01,0,0.000592526173155048,"2022","09"
2022-10-01,0,6.24813177373667e-05,"2022","10"
2022-11-01,0,0,"2022","11"
2022-12-01,0,0,"2022","12"
