"date","median_p","mean_p","year","month"
2012-01-01,0.362690925598145,0.404737803865882,"2012","01"
2012-02-01,0.47925016283989,0.511643084533074,"2012","02"
2012-03-01,0.793854773044586,0.732635804835488,"2012","03"
2012-04-01,0.853180170059204,0.67185740857659,"2012","04"
2012-05-01,0.562481462955475,0.709481521126102,"2012","05"
2012-06-01,1.56147074699402,1.63429733913611,"2012","06"
2012-07-01,4.11088514328003,4.02158688096439,"2012","07"
2012-08-01,4.53298854827881,4.62992244608262,"2012","08"
2012-09-01,4.72126340866089,4.92411555963404,"2012","09"
2012-10-01,3.88086247444153,3.37115194517023,"2012","10"
2012-11-01,1.96244740486145,2.13363237941966,"2012","11"
2012-12-01,0.556105732917786,0.527093601577422,"2012","12"
2013-01-01,0.41669887304306,0.419104355223039,"2013","01"
2013-02-01,0.711654007434845,0.697764496592914,"2013","02"
2013-03-01,0.897994816303253,0.653690851896125,"2013","03"
2013-04-01,0.889971435070038,0.661061906447524,"2013","04"
2013-05-01,0.141285866498947,0.504425756896928,"2013","05"
2013-06-01,2.30462145805359,1.78391862923608,"2013","06"
2013-07-01,3.5598680973053,3.50971219118904,"2013","07"
2013-08-01,4.36604928970337,4.67721536580254,"2013","08"
2013-09-01,4.76303148269653,4.85003304481506,"2013","09"
2013-10-01,3.62179136276245,3.29929824436412,"2013","10"
2013-11-01,1.50071680545807,1.57563694785623,"2013","11"
2013-12-01,0.785654544830322,0.794675041647518,"2013","12"
2014-01-01,0.624113380908966,0.637403791441637,"2014","01"
2014-02-01,0.45418643951416,0.503929359947934,"2014","02"
2014-03-01,0.771198451519012,0.749526183394825,"2014","03"
2014-04-01,0.31998747587204,0.458759277538561,"2014","04"
2014-05-01,0.514266014099121,0.766580138772363,"2014","05"
2014-06-01,1.24979519844055,1.44803544300992,"2014","06"
2014-07-01,3.20375347137451,3.06776905059814,"2014","07"
2014-08-01,4.4142951965332,4.3408776030821,"2014","08"
2014-09-01,4.33304309844971,4.39088720433852,"2014","09"
2014-10-01,3.05396938323975,2.82342400620965,"2014","10"
2014-11-01,1.68519043922424,1.761725916582,"2014","11"
2014-12-01,0.688872158527374,0.660749409128638,"2014","12"
2015-01-01,0.392061591148376,0.41440925089752,"2015","01"
2015-02-01,0.70156067609787,0.727344895110411,"2015","02"
2015-03-01,0.77481883764267,0.738754726508084,"2015","03"
2015-04-01,0.245375320315361,0.452209219065159,"2015","04"
2015-05-01,0.476928204298019,0.745175290976048,"2015","05"
2015-06-01,1.33716928958893,1.23711531768169,"2015","06"
2015-07-01,3.44841980934143,3.39163965337417,"2015","07"
2015-08-01,4.67141723632812,4.86502176172593,"2015","08"
2015-09-01,4.79073572158813,4.81026708378511,"2015","09"
2015-10-01,4.17932796478271,3.68846416473389,"2015","10"
2015-11-01,1.58125269412994,1.5196848266265,"2015","11"
2015-12-01,0.657466650009155,0.65883280249203,"2015","12"
2016-01-01,0.822415351867676,0.853495829245623,"2016","01"
2016-02-01,0.677025198936462,0.672964828855851,"2016","02"
2016-03-01,0.740299761295319,0.715170383453369,"2016","03"
2016-04-01,0.472926646471024,0.56129293047193,"2016","04"
2016-05-01,0.193356558680534,0.554892714628402,"2016","05"
2016-06-01,2.03953695297241,1.39873600126628,"2016","06"
2016-07-01,3.9779589176178,3.79089699071996,"2016","07"
2016-08-01,4.58458232879639,4.59036402141347,"2016","08"
2016-09-01,4.88815259933472,4.84153370296254,"2016","09"
2016-10-01,2.44881534576416,2.58025643077802,"2016","10"
2016-11-01,1.53977787494659,1.65495276451111,"2016","11"
2016-12-01,0.91710764169693,0.90741762343575,"2016","12"
2017-01-01,0.432666093111038,0.461929688558859,"2017","01"
2017-02-01,0.720052719116211,0.735480434754316,"2017","02"
2017-03-01,0.568787753582001,0.480058328961818,"2017","03"
2017-04-01,0.250992834568024,0.379066130676245,"2017","04"
2017-05-01,0.206444546580315,0.723719096893226,"2017","05"
2017-06-01,2.33630800247192,1.65578227909282,"2017","06"
2017-07-01,3.6741840839386,3.75487222391016,"2017","07"
2017-08-01,4.29112672805786,4.31583035693449,"2017","08"
2017-09-01,4.10450267791748,4.03450566179612,"2017","09"
2017-10-01,2.24562931060791,2.28259524001795,"2017","10"
2017-11-01,1.38981330394745,1.47334493609036,"2017","11"
2017-12-01,0.496128767728806,0.515959134873222,"2017","12"
2018-01-01,0.388007789850235,0.420018673819654,"2018","01"
2018-02-01,0.5683553814888,0.621462907861261,"2018","02"
2018-03-01,0.687631011009216,0.553674209205543,"2018","03"
2018-04-01,0.749934017658234,0.542685865879963,"2018","04"
2018-05-01,0.395085394382477,0.525055352518179,"2018","05"
2018-06-01,1.50346028804779,1.22845415434088,"2018","06"
2018-07-01,3.65626931190491,3.73988389968872,"2018","07"
2018-08-01,4.01740789413452,3.9965125392465,"2018","08"
2018-09-01,4.72305631637573,4.53665765594034,"2018","09"
2018-10-01,2.77053165435791,2.59005852920168,"2018","10"
2018-11-01,1.46262991428375,1.58485873306499,"2018","11"
