"month_year","Region","DENV"
2022-05-15,"LVdT",503000
2022-05-15,"North",447500
2022-05-15,"South",322000
2022-06-15,"LVdT",315000
2022-06-15,"North",35700
2022-06-15,"South",68600
2022-07-15,"LVdT",152000
2022-07-15,"North",92700
2022-07-15,"South",21750
2022-08-15,"LVdT",138000
2022-08-15,"North",3390
2022-08-15,"South",41200
2022-09-15,"LVdT",1024500
2022-09-15,"North",819000
2022-09-15,"South",643000
2022-10-15,"LVdT",32800
2022-10-15,"North",86500
2022-10-15,"South",202000
2022-11-15,"LVdT",39900
2022-11-15,"North",9250
2022-11-15,"South",16300
2022-12-15,"LVdT",47400
2022-12-15,"North",10673.5
2022-12-15,"South",7360
2023-01-15,"LVdT",40600
2023-01-15,"North",NA
2023-01-15,"South",NA
2023-02-15,"LVdT",33850
2023-02-15,"North",42200
2023-02-15,"South",73800
2023-03-15,"LVdT",70000
2023-03-15,"North",84300
2023-03-15,"South",NA
2023-04-15,"LVdT",42400
2023-04-15,"North",114000
2023-04-15,"South",NA
2022-05-15,"Portugal",467000
2022-06-15,"Portugal",72200
2022-07-15,"Portugal",33600
2022-08-15,"Portugal",41200
2022-09-15,"Portugal",744000
2022-10-15,"Portugal",86500
2022-11-15,"Portugal",16300
2022-12-15,"Portugal",10230
2023-01-15,"Portugal",40600
2023-02-15,"Portugal",54150
2023-03-15,"Portugal",84300
2023-04-15,"Portugal",89150
